word,dialect,phonetic,mandarin,usage,english,iid
 ,打针,dā zán,打针,,injection,0523
  ,打吊针,dā dī zān,打吊针,,transfusion,0524
 ,食药,zì yè,吃药,统称,take medicine,0525
,茶,có,汤药,,a decoction of medicine ingredients,0526
  ,好些了,hiē daī liè,病轻了,,the disease is light,0527
 ,做媒,zē mé,说媒,,act as matchmaker,0528
  ,媒人婆,mé ēng pū,媒人,,matchmaker,0529
 ,对面,dō màn,相亲,,blind date,0530
 ,订婚,tiò fián,订婚,,engage oneself to,0531
 ,嫁妆,gō zēn,嫁妆,,trousseau,0532
 ,结婚,zǐ fián,结婚,统称,marry,0533
  ,讨老客,tiē liē kō,娶妻子,男子～，动宾,take a wife,0534
 ,出嫁,suaǐ gō,出嫁,女子～,get married,0535
  ,新姑丈,xián gō cēn,新郎,,groom,0537
   ,新妇娘娘,xián fū līn līn,新娘子,,bride,0538
  ,大肚怪,tò tō guā,孕妇,,gravida,0539
  ,驮肚子,té tō lè,怀孕,,pregnant,0540
 ,嫌井,xìn jiō,害喜,妊娠反应,feel morning sickness of pregnant woman,0541
 ,下地,hō taì,分娩,,childbirth,0542
 ,落胎,lè tiá,流产,,abortion,0543
 ,双巴,suān bā,双胞胎,,twins,0544
  ,坐月子,zē weǐ dē,坐月子,,confinement in childbirth,0545
  ,吃奶奶,zì laī laī,吃奶,,suck the breast,0546
  ,隔奶奶,gǒ laī laī,断奶,,ablactation,0547
 ,满月,mīn weǐ,满月,,a baby’s completion of its first month of life,0548
 ,生日,xié ēng,生日,统称,birthday,0549
  ,做生日,zē xié ēng,做寿,,celebrate the birthday,0550
,死,saī,死,统称,die,0552
  ,过呱了,gū guā liè,死,婉称，最常用的几种，指老人：他～了,die,0552
  ,寻短路,tì dīn lò,自杀,,suicide,0553
 ,断气,tīn cī,咽气,,breathe one’s last,0554
 ,入殓,èng làn,入殓,,put a corpse in a coffin,0555
